t,cpuusage,avgtasktime,maxtasktime
395,16,324,586
396,14,324,589
397,16,322,705
398,15,311,715
399,15,311,698
400,11,324,897
401,17,318,884
402,16,316,1106
403,19,326,912
404,14,320,610
405,15,322,851
406,14,332,856
407,12,346,495
408,14,346,495
409,14,347,533
410,15,330,579
411,15,321,587
412,14,325,580
413,15,322,587
414,14,322,578
415,15,321,580
416,14,324,590
417,15,343,572
418,14,349,605
419,15,339,577
420,15,346,476
421,17,346,504
422,15,345,418
423,15,345,422
424,15,336,608
425,16,343,592
426,16,323,587
427,14,322,575
428,13,322,644
429,16,321,586
430,15,322,585
431,15,323,676
432,14,322,584
433,15,322,613
434,14,320,587
435,15,329,884
436,14,321,588
437,15,321,584
438,14,341,591
439,16,319,588
440,17,324,576
441,14,337,1070
442,14,325,584
443,14,327,601
444,15,329,592
445,16,329,642
446,13,324,591
447,14,319,636
448,15,318,600
449,15,316,595
450,16,316,570
451,14,316,632
452,13,319,592
453,15,321,594
454,16,326,693
455,10,326,702
456,13,325,584
457,15,325,879
458,15,309,879
459,20,309,698
460,12,326,859
461,13,339,416
462,12,327,561
463,15,324,572
464,15,304,648
465,15,300,580
466,16,302,588
467,16,300,586
468,17,312,738
469,15,322,590
470,16,322,585
471,14,325,583
472,14,328,742
473,13,347,541
474,16,347,483
475,16,348,489
476,20,346,526
477,15,333,570
478,15,325,581
479,15,322,579
480,15,321,581
481,17,321,598
482,17,321,584
483,14,327,912
484,17,327,963
485,15,335,664
486,17,345,1084
487,17,333,624
488,17,324,581
489,11,323,592
490,13,323,590
491,10,324,594
492,10,325,587
493,15,325,585
494,10,323,587
495,15,323,586
496,10,325,592
497,11,326,592
498,11,314,882
499,12,321,750
500,14,330,590
501,15,321,1024
502,15,313,645
503,10,306,702
504,11,302,652
505,10,308,599
506,11,315,588
507,13,314,640
508,12,323,668
509,13,323,584
510,11,331,701
511,19,322,578
512,12,314,594
513,13,301,657
514,15,300,583
515,13,300,584
516,12,302,588
517,14,307,665
518,13,329,674
519,11,324,598
520,12,345,594
521,15,326,587
522,15,325,664
523,11,324,582
524,11,321,594
525,17,322,644
526,12,329,1207
527,11,324,583
528,12,319,854
529,12,322,587
530,11,323,635
531,13,328,902
532,13,324,653
533,13,319,762
534,13,337,588
535,17,327,592
536,14,341,589
537,15,330,578
538,14,324,584
539,16,325,588
540,13,324,586
541,14,323,583
542,14,323,580
543,14,324,582
544,13,324,580
545,14,324,583
546,14,326,653
547,14,324,584
548,17,322,632
549,14,324,602
550,16,327,594
551,14,321,593
552,17,323,588
553,13,312,742
554,13,322,641
555,11,322,600
556,11,328,650
557,11,347,605
558,10,334,643
559,17,324,640
560,16,323,592
561,12,327,583
562,15,343,425
563,13,343,437
564,11,340,494
565,12,340,480
566,11,343,543
567,11,348,893
568,15,338,858
569,18,323,590
570,14,324,581
571,14,323,585
572,15,324,592
573,17,324,666
574,15,326,583
575,15,324,588
576,15,325,599
577,15,326,591
578,15,328,598
579,15,325,589
580,15,321,639
581,17,331,654
582,13,339,637
583,13,317,876
584,17,325,594
585,19,347,425
586,15,345,417
587,14,345,420
588,14,346,456
589,14,347,422
590,15,346,420
591,14,346,422
592,17,346,440
593,15,345,424
594,15,331,581
595,14,324,584
596,12,336,588
597,13,339,584
598,14,327,641
599,14,331,828
600,14,326,579
601,13,327,606
602,11,349,480
603,13,349,476
604,12,347,684
605,12,344,428
606,10,344,424
607,12,345,502
608,11,348,478
609,13,347,500
610,14,349,503
611,13,351,495
612,11,350,490
613,14,369,946
614,13,359,865
615,12,350,631
616,11,338,1214
617,15,296,642
618,11,307,649
619,13,329,613
620,15,325,609
621,17,319,601
622,16,322,592
623,23,325,698
624,23,323,606
625,15,326,882
626,18,324,915
627,17,319,860
628,16,320,666
629,16,320,867
630,13,313,887
631,12,302,601
632,15,307,593
633,15,303,592
634,14,304,594
635,10,304,593
636,16,324,584
637,12,321,572
638,11,322,592
639,13,322,596
640,18,322,604
641,14,323,595
642,15,333,590
643,15,345,426
644,15,347,473
645,16,347,481
646,14,350,508
647,15,347,482
648,15,347,523
649,15,334,883
650,14,325,729
651,11,328,594
652,14,325,590
653,15,324,594
654,12,321,600
655,18,332,594
656,12,344,489
657,15,341,576
658,14,324,591
659,14,326,602
660,13,328,594
661,14,327,641
662,14,334,608
663,13,359,1256
664,15,327,584
665,16,321,603
666,11,325,590
667,16,332,1176
668,11,321,586
669,13,324,603
670,11,328,595
671,12,323,642
672,11,330,1152
673,14,327,593
674,11,321,604
675,13,324,598
676,16,324,816
677,11,335,599
678,11,334,592
679,14,326,590
680,15,326,574
681,16,325,584
682,15,323,573
683,15,324,574
684,15,322,591
685,18,320,600
686,17,310,739
687,16,310,734
688,17,325,576
689,15,316,752
690,13,308,961
691,16,324,593
692,13,325,585
693,15,325,593
694,14,326,600
695,15,326,676
696,14,325,588
697,15,335,603
698,16,326,583
699,17,325,659
700,19,323,634
701,18,320,895
