t,cpuusage,avgtasktime,maxtasktime
396,15,341,502
397,14,345,557
398,14,343,472
399,16,345,553
400,16,345,510
401,16,346,1461
402,17,324,655
403,15,322,743
404,11,319,1728
405,11,315,592
406,15,323,673
407,15,345,577
408,14,346,427
409,15,317,748
410,16,342,858
411,13,345,424
412,16,348,491
413,15,314,590
414,15,301,592
415,15,320,578
416,17,323,585
417,14,323,663
418,14,321,577
419,15,321,586
420,15,323,584
421,14,325,587
422,15,342,573
423,14,347,618
424,15,323,596
425,17,302,931
426,18,301,758
427,18,304,889
428,19,299,754
429,17,315,753
430,17,322,588
431,16,322,667
432,16,321,576
433,13,326,612
434,15,325,577
435,15,325,577
436,16,304,715
437,20,310,589
438,16,341,585
439,18,347,619
440,15,345,491
441,15,345,432
442,16,336,573
443,16,328,645
444,18,326,670
445,17,329,699
446,16,325,696
447,16,323,586
448,12,324,656
449,17,323,586
450,21,324,649
451,18,325,590
452,17,320,595
453,16,321,586
454,14,324,669
455,18,331,1445
456,19,321,622
457,17,317,1081
458,18,324,592
459,15,329,671
460,14,327,833
461,14,320,594
462,16,323,862
463,11,317,739
464,14,317,942
465,13,323,648
466,19,322,584
467,13,322,579
468,15,321,577
469,13,323,578
470,13,339,572
471,13,341,579
472,12,330,735
473,18,299,804
474,16,321,735
475,10,326,588
476,10,323,580
477,11,324,595
478,10,324,669
479,10,324,591
480,12,323,587
481,11,323,593
482,10,323,588
483,11,333,901
484,11,326,636
485,10,326,894
486,10,327,1210
487,11,320,585
488,13,321,586
489,13,322,579
490,13,321,578
491,12,321,580
492,13,322,579
493,12,322,580
494,13,325,649
495,12,325,586
496,13,325,612
497,13,324,582
498,12,328,601
499,15,323,585
500,18,324,594
501,12,325,593
502,13,331,581
503,16,361,892
504,15,326,572
505,16,335,586
506,12,318,869
507,17,312,849
508,16,320,735
509,12,326,582
510,15,325,694
511,16,321,583
512,18,332,1133
513,17,308,869
514,13,303,915
515,13,301,742
516,12,300,740
517,11,302,739
518,12,309,735
519,12,311,1004
520,11,327,894
521,20,345,456
522,14,340,579
523,15,324,654
524,14,332,590
525,13,345,431
526,14,346,486
527,14,345,484
528,14,344,480
529,14,343,423
530,14,344,433
531,17,346,500
532,14,344,425
533,16,335,582
534,16,340,646
535,11,345,418
536,12,345,423
537,12,346,425
538,12,347,420
539,12,350,474
540,11,350,499
541,16,351,676
542,12,349,497
543,11,348,476
544,12,345,469
545,13,346,477
546,14,347,484
547,13,345,448
548,15,345,430
549,14,348,490
550,14,350,531
551,13,350,487
552,15,349,469
553,14,334,625
554,17,324,634
555,14,325,672
556,15,324,676
557,15,322,586
558,14,325,671
559,13,322,599
560,13,328,671
561,14,329,900
562,11,322,587
563,18,307,864
564,14,321,846
565,15,324,588
566,15,308,589
567,15,340,574
568,13,326,594
569,17,316,587
570,11,304,637
571,12,305,598
572,12,303,593
573,12,315,589
574,12,322,602
575,16,329,577
576,15,323,576
577,10,327,843
578,12,323,597
579,12,333,664
580,11,337,583
581,11,320,873
582,12,339,902
583,14,346,430
584,15,344,425
585,15,345,447
586,15,346,470
587,18,345,421
588,17,346,418
589,14,345,427
590,15,343,593
591,14,331,577
592,15,326,582
593,16,327,578
594,16,328,650
595,15,324,575
596,15,324,578
597,16,322,722
598,15,322,665
599,15,321,664
600,20,339,646
601,17,347,628
602,14,323,583
603,13,328,587
604,14,324,591
605,15,325,591
606,15,337,1039
607,14,329,623
608,15,330,900
609,15,333,688
610,16,346,434
611,16,343,459
612,14,330,671
613,15,317,598
614,14,307,845
615,12,331,649
616,15,353,1017
617,18,353,870
618,17,354,878
619,14,346,477
620,14,344,420
621,14,341,581
622,15,323,593
623,17,335,1112
624,18,306,604
625,16,304,594
626,17,303,873
627,16,314,751
628,15,322,589
629,18,337,630
630,17,348,607
631,16,346,420
632,16,346,425
633,15,346,419
634,17,347,419
635,16,347,432
636,17,346,423
637,17,347,424
638,15,349,518
639,15,346,418
640,16,341,569
641,15,324,594
642,13,325,601
643,16,324,593
644,12,318,742
645,13,302,748
646,13,302,751
647,15,320,740
648,13,322,577
649,17,326,585
650,17,326,622
651,17,323,586
652,17,322,581
653,14,322,593
654,17,322,596
655,14,322,584
656,16,322,596
657,16,323,589
658,18,321,591
659,16,324,595
660,15,324,665
661,18,323,591
662,15,326,601
663,16,317,903
664,17,310,1072
665,17,303,653
666,11,307,698
667,13,318,601
668,10,321,584
669,10,322,586
670,11,324,578
671,9,325,576
672,9,327,570
673,11,327,581
674,10,320,865
675,10,312,1022
676,10,333,856
677,10,323,882
678,11,339,532
679,15,336,455
680,15,340,603
681,14,342,452
682,15,348,564
683,14,344,538
684,14,330,578
685,16,316,588
686,16,308,588
687,13,322,646
688,13,321,591
689,12,322,650
690,15,321,591
691,13,323,599
692,13,322,594
693,11,326,598
694,13,324,585
695,14,324,586
696,17,319,613
697,17,310,892
698,15,325,577
699,13,325,686
700,15,323,588
701,14,323,580
702,14,321,578
703,16,322,575
704,17,324,583
705,14,323,588
706,16,323,584
707,18,320,607
708,17,317,737
709,18,300,743
710,16,306,862
711,18,311,744
712,17,324,592
713,14,325,587
714,13,323,651
715,12,323,591
716,13,344,585
717,12,353,955
718,16,345,477
719,14,347,482
720,14,361,856
721,10,356,1127
722,16,345,457
723,15,336,473
724,15,321,666
